showID,eventID,show_date,show_time,status,venueID
1,1,2024-05-26,19:30,COMPLETED,3
2,1,2024-05-27,18:45,SCHEDULED,9
3,1,2024-05-28,15:00,CANCELED,9
4,1,2024-05-29,10:45,SCHEDULED,4
1,2,2024-05-29,11:45,CANCELED,1
2,2,2024-05-30,22:45,SCHEDULED,7
3,2,2024-05-31,11:30,CANCELED,12
4,2,2024-06-01,11:45,CANCELED,1
1,3,2024-06-01,13:00,COMPLETED,8
2,3,2024-06-02,21:45,CANCELED,6
3,3,2024-06-03,12:15,CANCELED,3
4,3,2024-06-04,18:00,SCHEDULED,7
1,4,2024-05-27,19:15,CANCELED,6
2,4,2024-05-28,10:30,SCHEDULED,10
3,4,2024-05-29,21:00,SCHEDULED,9
4,4,2024-05-30,22:15,CANCELED,5
1,5,2024-06-09,14:00,COMPLETED,11
2,5,2024-06-10,15:30,SCHEDULED,12
3,5,2024-06-11,22:00,CANCELED,3
4,5,2024-06-12,19:45,CANCELED,4
1,6,2024-06-04,19:15,CANCELED,8
2,6,2024-06-05,11:30,CANCELED,9
3,6,2024-06-06,13:15,SCHEDULED,5
4,6,2024-06-07,19:15,SCHEDULED,7
1,7,2024-06-20,20:00,SCHEDULED,4
2,7,2024-06-21,16:15,SCHEDULED,12
3,7,2024-06-22,21:30,CANCELED,8
4,7,2024-06-23,14:00,SCHEDULED,4
1,8,2024-06-25,12:00,COMPLETED,7
2,8,2024-06-26,17:30,CANCELED,8
3,8,2024-06-27,12:45,CANCELED,7
4,8,2024-06-28,15:30,CANCELED,6
1,9,2024-07-04,20:15,SCHEDULED,10
2,9,2024-07-05,20:30,SCHEDULED,4
3,9,2024-07-06,20:15,SCHEDULED,7
4,9,2024-07-07,21:00,SCHEDULED,1
1,10,2024-07-02,19:00,SCHEDULED,11
2,10,2024-07-03,15:15,CANCELED,3
3,10,2024-07-04,21:00,SCHEDULED,4
4,10,2024-07-05,14:30,CANCELED,11
1,11,2024-07-06,13:30,SCHEDULED,10
2,11,2024-07-07,22:45,SCHEDULED,7
3,11,2024-07-08,13:30,SCHEDULED,1
4,11,2024-07-09,16:15,CANCELED,5
1,12,2024-07-12,21:45,CANCELED,4
2,12,2024-07-13,19:30,CANCELED,9
3,12,2024-07-14,22:30,SCHEDULED,6
4,12,2024-07-15,20:15,CANCELED,3
1,13,2024-07-31,10:45,COMPLETED,10
2,13,2024-08-01,22:00,SCHEDULED,8
3,13,2024-08-02,16:30,SCHEDULED,8
4,13,2024-08-03,14:45,SCHEDULED,5
1,14,2024-08-17,17:15,CANCELED,3
2,14,2024-08-18,16:45,SCHEDULED,12
3,14,2024-08-19,11:30,SCHEDULED,4
4,14,2024-08-20,17:45,CANCELED,5
1,15,2024-08-23,22:45,CANCELED,2
2,15,2024-08-24,22:00,CANCELED,5
3,15,2024-08-25,13:30,SCHEDULED,1
4,15,2024-08-26,15:00,CANCELED,4
