showID,eventID,show_date,show_time,status,venueID
1,1,2024-05-01,14:45,COMPLETED,8
2,1,2024-05-02,21:30,CANCELED,9
3,1,2024-05-03,10:45,CANCELED,12
4,1,2024-05-04,20:30,CANCELED,8
1,2,2024-05-04,11:30,CANCELED,8
2,2,2024-05-05,18:30,COMPLETED,7
3,2,2024-05-06,10:45,CANCELED,9
4,2,2024-05-07,11:45,CANCELED,9
1,3,2024-05-11,12:15,COMPLETED,6
2,3,2024-05-12,15:45,COMPLETED,5
3,3,2024-05-13,14:00,CANCELED,6
4,3,2024-05-14,21:30,COMPLETED,1
1,4,2024-05-17,14:15,SCHEDULED,3
2,4,2024-05-18,14:15,SCHEDULED,6
3,4,2024-05-19,17:30,CANCELED,7
4,4,2024-05-20,19:30,CANCELED,9
1,5,2024-06-01,21:15,CANCELED,11
2,5,2024-06-02,14:30,SCHEDULED,5
3,5,2024-06-03,13:15,CANCELED,12
4,5,2024-06-04,11:15,SCHEDULED,2
1,6,2024-06-24,15:30,SCHEDULED,2
2,6,2024-06-25,15:15,SCHEDULED,10
3,6,2024-06-26,21:15,SCHEDULED,4
4,6,2024-06-27,14:15,SCHEDULED,3
1,7,2024-06-18,17:00,CANCELED,8
2,7,2024-06-19,18:30,SCHEDULED,7
3,7,2024-06-20,14:45,CANCELED,7
4,7,2024-06-21,17:45,CANCELED,2
1,8,2024-07-05,10:30,CANCELED,6
2,8,2024-07-06,18:30,CANCELED,6
3,8,2024-07-07,20:30,SCHEDULED,10
4,8,2024-07-08,15:15,CANCELED,4
1,9,2024-07-19,19:45,SCHEDULED,11
2,9,2024-07-20,16:30,CANCELED,7
3,9,2024-07-21,19:15,SCHEDULED,11
4,9,2024-07-22,14:30,CANCELED,6
1,10,2024-07-16,18:15,CANCELED,8
2,10,2024-07-17,11:15,CANCELED,2
3,10,2024-07-18,15:30,SCHEDULED,3
4,10,2024-07-19,18:45,CANCELED,5
1,11,2024-08-09,17:45,SCHEDULED,6
2,11,2024-08-10,16:00,SCHEDULED,12
3,11,2024-08-11,13:15,CANCELED,4
4,11,2024-08-12,17:45,SCHEDULED,4
1,12,2024-08-23,21:45,CANCELED,11
2,12,2024-08-24,18:45,CANCELED,9
3,12,2024-08-25,20:15,SCHEDULED,2
4,12,2024-08-26,19:15,SCHEDULED,4
1,13,2024-09-10,21:15,CANCELED,11
2,13,2024-09-11,22:00,SCHEDULED,12
3,13,2024-09-12,18:15,SCHEDULED,12
4,13,2024-09-13,17:45,SCHEDULED,12
1,14,2024-09-10,10:00,CANCELED,11
2,14,2024-09-11,17:00,SCHEDULED,3
3,14,2024-09-12,19:15,CANCELED,6
4,14,2024-09-13,12:00,SCHEDULED,5
1,15,2024-09-04,13:45,CANCELED,7
2,15,2024-09-05,21:00,CANCELED,3
3,15,2024-09-06,19:30,CANCELED,10
4,15,2024-09-07,17:15,SCHEDULED,4
