showID,categoryID,seat_price
1,1,35.88
1,2,104.2
1,9,62.84
2,1,31.92
2,2,101.74
2,9,65.2
3,1,29.29
3,2,109.04
3,10,48.18
4,1,30.57
5,2,97.26
5,8,85.95
5,9,66.97
5,10,47.26
6,1,33.23
6,2,99.13
6,3,77.59
7,1,29.57
8,6,127.48
8,8,88.93
8,10,47.63
9,2,104.69
9,6,125.03
9,8,98.23
9,9,67.42
9,10,35.86
10,1,31.8
10,2,102.83
10,10,45.37
11,8,98.05
11,10,45.85
12,1,33.71
12,2,109.52
12,10,35.99
13,2,107.39
13,8,85.85
13,9,60.12
13,10,37.02
14,1,35.31
14,2,103.13
14,3,71.7
15,2,102.04
15,6,123.95
15,8,91.18
15,9,60.55
15,10,41.73
16,2,108.73
16,6,119.34
16,8,98.16
16,10,40.4
17,2,104.96
17,8,86.36
17,9,64.51
17,10,42.52
18,1,27.59
18,2,105.77
18,3,75.48
19,1,36.66
19,2,96.62
19,10,45.33
20,8,92.78
20,10,37.26
21,2,96.97
21,6,119.68
21,8,86.43
21,9,63.81
21,10,46.36
22,8,96.86
22,10,45.64
23,8,90.07
23,10,48.1
24,2,102.72
24,6,116.54
24,8,96.04
24,10,37.21
25,1,34.27
25,2,98.51
25,10,42.41
26,2,98.26
26,6,124.23
26,8,99.04
26,9,59.24
26,10,38.02
27,8,87.49
27,10,47.03
28,1,25.72
28,2,108.51
28,9,62.01
29,2,99.52
29,6,123.13
29,8,89.74
29,9,67.21
29,10,43.79
30,1,30.05
30,2,102.22
30,10,46.93
31,1,29.56
31,2,106.78
31,3,84.72
32,2,102.39
32,4,32.29
32,5,32.96
32,6,118.26
33,2,95.64
33,6,127.64
33,8,99.45
33,10,47.42
34,2,105.43
34,4,24.6
34,5,34.73
34,6,124.36
35,1,35.25
35,2,102.85
35,9,69.53
36,2,102.05
36,4,27.65
36,5,37.6
36,6,116.5
37,1,36.35
37,2,102.95
37,3,78.79
38,1,37.41
38,2,104.42
38,10,37.01
39,1,39.18
39,2,97.66
39,9,56.2
40,2,98.49
40,6,120.85
40,8,90.36
40,10,39.43
41,6,119.65
41,8,94.83
41,10,49.65
42,1,37.75
42,2,109.21
42,3,76.5
43,1,35.69
43,2,108.44
43,3,80.91
44,2,108.82
44,6,127.81
44,8,87.59
44,9,60.13
44,10,38.33
45,1,29.06
46,2,108.77
46,6,119.07
46,8,86.75
46,9,60.87
46,10,38.88
47,2,101.33
47,6,119.66
47,8,94.14
47,9,64.45
47,10,47.11
48,8,96.22
48,10,41.39
49,8,88.2
49,10,39.17
50,2,105.4
50,4,25.07
50,5,32.52
50,6,127.5
51,2,97.57
51,6,115.09
51,8,98.7
51,10,47.58
52,1,31.48
52,2,96.09
52,3,71.06
53,6,129.84
53,8,97.0
53,10,47.0
54,1,35.99
54,2,97.84
54,10,36.2
55,8,85.9
55,10,38.64
56,1,28.81
56,2,107.25
56,9,58.96
57,1,29.9
58,2,103.91
58,8,96.38
58,9,68.08
58,10,49.21
59,1,25.23
59,2,104.01
59,10,42.57
60,6,129.9
60,8,93.42
60,10,44.07
