ticketID,ticket_number,status,categoryID,userID,date_booked,discountID,showID
1,8635719,CANCELED,1,4,2024-04-05,2,1
2,6163280,BOOKED,7,10,2024-04-19,2,1
3,5311136,BOOKED,7,6,2024-03-30,4,1
4,6703122,CANCELED,9,1,2024-04-20,4,1
5,9718363,BOOKED,6,9,2024-04-09,3,1
6,3028664,CANCELED,8,3,2024-04-14,2,1
7,4003411,CANCELED,5,4,2024-04-28,2,1
8,5278230,BOOKED,1,2,2024-04-14,1,1
9,7269410,BOOKED,9,10,2024-04-14,4,2
10,5316747,CANCELED,2,9,2024-04-22,2,2
11,7044950,CANCELED,6,2,2024-04-06,4,2
12,5030804,CANCELED,10,2,2024-04-24,1,2
13,2003767,CANCELED,4,8,2024-04-01,1,2
14,1223780,BOOKED,9,2,2024-04-26,2,2
15,3398923,BOOKED,5,6,2024-03-30,2,2
16,3997295,CANCELED,5,8,2024-04-19,4,2
17,8150383,BOOKED,2,4,2024-04-18,3,3
18,5202109,BOOKED,9,5,2024-04-27,1,3
19,7037042,CANCELED,10,2,2024-04-09,4,3
20,8331411,BOOKED,3,3,2024-05-06,4,3
21,9100425,BOOKED,5,4,2024-03-28,1,3
22,5917314,BOOKED,7,7,2024-03-31,3,3
23,3449045,BOOKED,6,7,2024-04-15,2,3
24,2294741,BOOKED,8,7,2024-03-31,4,3
25,1810228,BOOKED,10,3,2024-04-19,1,3
26,3314768,CANCELED,9,1,2024-05-02,2,4
27,2808381,BOOKED,3,7,2024-04-11,4,4
28,9475226,BOOKED,4,10,2024-04-29,1,4
29,9864054,CANCELED,2,8,2024-04-16,4,4
30,9407983,BOOKED,6,3,2024-04-06,1,5
31,1115524,BOOKED,1,5,2024-03-30,1,5
32,3335605,CANCELED,2,9,2024-05-01,4,5
33,6244921,BOOKED,1,5,2024-04-20,1,5
34,3830208,CANCELED,1,8,2024-04-13,3,5
35,6562345,CANCELED,7,1,2024-03-30,1,5
36,4365056,BOOKED,4,8,2024-05-06,1,5
37,1849592,CANCELED,5,1,2024-04-29,3,5
38,7206028,BOOKED,6,3,2024-05-06,3,5
39,3039419,BOOKED,10,1,2024-04-30,2,6
40,5837623,BOOKED,6,9,2024-04-15,3,6
41,5884209,CANCELED,1,10,2024-04-14,2,6
42,7878566,BOOKED,1,2,2024-04-05,1,7
43,7810776,CANCELED,9,9,2024-04-12,1,8
44,8160785,CANCELED,7,3,2024-04-21,4,8
45,6326484,BOOKED,5,4,2024-04-22,1,8
46,1832852,BOOKED,9,7,2024-04-02,2,8
47,6257485,CANCELED,3,7,2024-04-30,2,8
48,4323945,CANCELED,9,7,2024-03-29,3,8
49,2485402,CANCELED,3,10,2024-04-12,4,8
50,5614416,BOOKED,5,8,2024-04-18,3,8
51,9707131,CANCELED,6,8,2024-04-08,1,8
52,8770114,BOOKED,5,10,2024-05-04,1,10
53,7483707,CANCELED,1,4,2024-04-17,2,10
54,5166640,CANCELED,1,3,2024-04-18,4,12
55,4888558,BOOKED,9,5,2024-04-02,4,12
56,4557068,CANCELED,6,8,2024-03-30,1,12
57,9853129,BOOKED,3,3,2024-04-03,1,12
58,2340028,BOOKED,3,7,2024-04-17,3,14
59,6029397,BOOKED,4,6,2024-04-08,2,14
60,6109134,CANCELED,2,6,2024-04-09,2,14
61,9656972,CANCELED,7,6,2024-04-21,2,14
62,2849430,BOOKED,2,10,2024-04-04,3,14
63,2658693,CANCELED,4,3,2024-04-30,2,14
64,2161173,BOOKED,1,4,2024-04-10,2,14
65,8848076,BOOKED,5,1,2024-04-10,4,14
66,6323185,CANCELED,9,4,2024-04-15,3,14
67,2371466,BOOKED,6,10,2024-04-24,1,15
68,8937142,BOOKED,2,1,2024-04-10,4,15
69,5543361,BOOKED,8,3,2024-04-15,4,15
70,1343829,BOOKED,5,4,2024-04-06,3,15
