ticketID,ticket_number,status,categoryID,userID,date_booked,discountID,showID
1,7169855,BOOKED,4,2,2024-05-01 14:44:44,4,1
2,8305965,BOOKED,7,10,2024-04-09 14:54:48,4,1
3,2095604,BOOKED,5,2,2024-04-06 02:58:33,3,1
4,4614444,BOOKED,4,6,2024-04-01 03:02:32,3,1
5,9266987,BOOKED,3,8,2024-04-28 23:12:35,4,1
6,4830508,BOOKED,9,6,2024-04-07 23:40:46,1,1
7,8045759,CANCELED,4,6,2024-04-28 23:37:33,4,1
8,8347425,CANCELED,4,1,2024-04-15 05:31:34,2,2
9,3447852,CANCELED,3,9,2024-04-24 01:51:43,3,2
10,9198752,BOOKED,10,5,2024-05-01 15:00:02,2,2
11,3578306,CANCELED,4,3,2024-04-16 20:23:21,1,2
12,4130727,BOOKED,8,3,2024-04-29 12:03:05,2,2
13,6688111,BOOKED,5,10,2024-04-03 20:40:56,1,2
14,9571220,BOOKED,7,9,2024-05-07 23:28:46,4,2
15,8860472,BOOKED,10,7,2024-04-18 08:56:14,2,2
16,3983398,BOOKED,5,6,2024-05-09 12:23:44,1,2
17,9663584,BOOKED,2,6,2024-04-05 15:57:30,1,3
18,8820766,BOOKED,5,9,2024-04-08 01:08:40,3,3
19,4193565,BOOKED,1,4,2024-05-03 03:44:46,4,3
20,6773266,CANCELED,4,4,2024-04-01 17:43:08,1,3
21,6178452,BOOKED,10,10,2024-04-03 08:33:38,2,3
22,2203215,CANCELED,7,4,2024-05-02 01:53:56,3,3
23,2188638,CANCELED,3,2,2024-05-07 18:51:48,4,3
24,6419172,BOOKED,2,7,2024-04-15 16:31:01,3,4
25,2741897,CANCELED,7,1,2024-05-01 03:32:02,3,4
26,4906749,CANCELED,6,8,2024-03-31 20:16:36,4,4
27,5608696,CANCELED,5,5,2024-04-09 06:31:43,3,4
28,8986426,BOOKED,9,1,2024-04-05 18:34:15,4,4
29,3939097,CANCELED,5,10,2024-04-11 05:24:53,2,5
30,4106635,CANCELED,9,10,2024-03-31 18:20:41,3,5
31,5257241,BOOKED,8,7,2024-05-08 16:03:20,4,5
32,6687320,BOOKED,1,10,2024-04-28 07:30:10,1,5
33,9317703,BOOKED,3,5,2024-04-17 11:01:59,1,5
34,1863259,CANCELED,6,5,2024-04-18 17:57:19,4,6
35,9639967,BOOKED,2,10,2024-04-04 05:54:25,1,6
36,5150308,CANCELED,1,6,2024-04-11 05:51:08,4,6
37,4439851,CANCELED,1,4,2024-05-09 21:36:42,2,6
38,4128313,BOOKED,2,6,2024-04-06 15:52:39,1,6
39,6462858,BOOKED,10,8,2024-05-02 21:47:40,4,6
40,9115458,CANCELED,1,4,2024-04-09 21:22:34,4,6
41,6891659,BOOKED,9,2,2024-04-10 21:23:12,3,6
42,8304347,BOOKED,5,10,2024-04-27 21:34:35,2,6
43,3595310,BOOKED,1,6,2024-04-23 00:53:21,3,8
44,5005410,CANCELED,9,3,2024-04-07 03:27:00,3,8
45,1349199,CANCELED,7,9,2024-04-02 11:50:18,3,8
46,4150577,BOOKED,8,3,2024-04-18 16:48:28,2,8
47,6288899,CANCELED,9,7,2024-05-10 00:50:27,3,8
48,4953768,BOOKED,7,5,2024-04-05 04:19:32,1,8
49,9766689,CANCELED,8,5,2024-04-12 16:35:43,4,8
50,8380480,CANCELED,5,2,2024-04-22 00:52:20,2,9
51,3651482,CANCELED,10,7,2024-04-13 07:24:20,1,9
52,6825799,BOOKED,9,2,2024-04-01 16:40:36,2,9
53,8059962,CANCELED,6,6,2024-04-26 20:10:36,2,9
54,5322331,CANCELED,2,8,2024-05-01 15:24:42,1,10
55,1337394,BOOKED,6,8,2024-04-01 18:31:13,2,10
56,7957798,CANCELED,10,9,2024-04-11 00:31:27,3,10
57,5859253,CANCELED,7,3,2024-05-09 12:02:11,1,10
58,6544266,BOOKED,10,7,2024-05-07 23:42:59,1,11
59,7722852,BOOKED,3,6,2024-05-05 19:22:35,4,13
60,2595001,CANCELED,9,5,2024-05-01 03:23:20,3,13
61,8636369,CANCELED,1,6,2024-05-09 01:20:08,1,13
62,4931264,BOOKED,6,2,2024-04-19 14:37:02,4,13
63,6881104,CANCELED,4,5,2024-05-06 21:40:53,4,13
64,6928530,BOOKED,10,3,2024-04-10 11:29:09,2,15
65,3676751,BOOKED,8,7,2024-04-16 11:02:14,4,15
66,8232501,CANCELED,10,8,2024-04-14 12:06:52,3,15
67,8788083,CANCELED,8,3,2024-04-25 08:11:41,1,15
68,3891232,CANCELED,10,4,2024-04-03 04:11:30,3,15
69,1164872,BOOKED,10,8,2024-04-07 04:32:26,4,15
70,6471903,CANCELED,3,8,2024-04-06 17:08:37,2,16
71,7921782,CANCELED,6,8,2024-04-12 06:40:13,4,16
72,8619603,CANCELED,4,8,2024-04-20 07:41:35,4,16
73,9276225,CANCELED,7,3,2024-04-22 10:37:32,3,18
74,4398334,BOOKED,6,4,2024-04-30 00:34:31,1,18
75,1259845,CANCELED,9,3,2024-04-10 07:51:21,4,18
76,3492136,CANCELED,9,8,2024-05-01 01:12:30,4,18
77,8547648,CANCELED,7,9,2024-05-06 15:43:26,4,18
78,7513258,CANCELED,5,4,2024-04-29 20:09:06,2,19
79,7825936,CANCELED,7,6,2024-04-11 06:59:16,2,19
80,5913177,CANCELED,9,3,2024-05-05 02:40:07,4,19
81,5865889,CANCELED,9,3,2024-04-12 05:44:53,1,19
82,5355749,CANCELED,1,10,2024-05-07 10:12:33,4,19
83,7992544,BOOKED,8,5,2024-04-08 01:12:00,2,19
84,4864801,BOOKED,1,10,2024-04-21 09:43:53,2,19
85,4390276,CANCELED,6,9,2024-04-15 01:51:52,3,19
86,9251047,BOOKED,2,5,2024-04-13 12:27:12,4,20
87,5880196,CANCELED,2,7,2024-05-08 08:03:23,1,20
88,3379666,CANCELED,8,3,2024-04-25 06:59:53,4,21
89,7824145,BOOKED,1,9,2024-04-10 20:44:25,3,21
90,2001436,CANCELED,8,6,2024-04-23 05:30:22,1,21
91,3645271,CANCELED,6,10,2024-04-05 20:38:13,4,21
92,9121506,BOOKED,2,9,2024-04-29 07:47:14,4,21
