venueID ,venue_name                                                      ,city                        ,address
      1 ,"Megaron - The Athens Concert Hall"                             ,"Athens"                    ,"Vasilissis Sofias Ave. & Kokkali 1"
      2 ,"Odeon of Herodes Atticus"                                      ,"Athens"                    ,"Dionysiou Areopagitou St."           
      3 ,"Stavros Niarchos Foundation Cultural Center (SNFCC)"           ,"Athens"                    ,"364 Pireos Street"                  
      4 ,"National Theatre of Greece"                                    ,"Athens"                    ,"Agatharchou 25"                     
      5 ,"Pallas Theatre"                                                ,"Athens"                    ,"5 Boukourestiou Street"         
      6 ,"National Theatre οf Northern Greece"                           ,"Thessaloniki"              ,"2 Ethnikis Amynis St."                    
      7 ,"Megaron Mousikis Thessalonikis (Concert Hall of Thessaloniki)" ,"Thessaloniki"              ,"25th of March Street"
      8 ,"Ancient Theatre of Epidaurus"                                  ,"Epidaurus"                 ,"Ancient Theater of Epidaurus"
      9 ,"OAKA Spyros Louis Olympic Stadium"                             ,"Athens"                    ,"37 Kifisias Ave."
     10 ,"Village Cinemas Athens Mall"                                   ,"Athens"                    ,"Kifissias Ave. 48"
     11 ,"Odeon Kosmopolis"                                              ,"Thessaloniki"              ,"23 Dimitriou Gounari"
     12 ,"Ster Cinemas Vouliagmeni"                                      ,"Vouliagmeni (Athens Area)" ,"1 Asklipiou & Poseidonos Ave."
